DeviceRecNum,DeviceNum,PrclErr,AddrAdjusted,CityBlock,Parcel,OwnerCode,Handle,Parcel9,AddrNum,AddrSuf,StDir,StName,StType,UnitNum,DeviceType,DeviceMake,DeviceSize,DeviceDesc,FacilityName,FacContact,FacAddrNum,FacStreet,FacZIP,LastInspDate,GeoCityBLockPart,Ward10,Precinct10,InspArea10,Ward00,Precinct02,Nbrhd,CDADist,CDASubDist,PoliceDist,CensTract10,CensGroup10,CensBlock00,AsrNbrhd,NLC,Parity,FirstDate,LastDate,UpDateGeo
11,219626,0,0,4449.02,75,0,14449020075,444902075,4600, , ,NATURAL BRIDGE,AV, ,P,WATTS 900,2,STORAGE ROOM FRONT OF BASEMENT,RANDLE FUNERAL HOME,,4600,NATURAL BRIDGE,63115,05/26/13 00:00:00,4449.0281,21,8,1,21,8,56,13,34,6,1101,1,1101.4002,307,7,E,,09/21/17 00:00:00,
12,138498,0,0,4454,90,0,14454000090,445400090,4828, , ,NATURAL BRIDGE,AV, ,P,WATTS 900,2,BASEMENT S. E. CORNER,WADE FUNERAL HOME,,4828,NATURAL BRIDGE,63115,07/11/13 00:00:00,4454,1,5,2,1,5,55,13,34,6,1067,1,1067.1001,301,7,E,,09/21/17 00:00:00,
13,H02246,0,0,2311,15,0,12311000015,231100015,1530, , ,19TH,ST, ,P,FEBCO 825YA,1.5,RIGHT SIDE OF UNIT 1530 N.19TH,MURPHY PARK,,1530,N. 19TH ST,63106,09/05/13 00:00:00,2311,3,1,2,5,13,60,14,6,4,1266,2,1266.7013,318,188,E,,09/21/17 00:00:00,
14,1921412,0,0,6203,110,0,16203000110,620300110,6514, , ,DELOR,ST, ,P,WILKENS 975XL,0.75,FRONT LEFT,FRANK SIMOKALTIS,,6514,DELOR,63109,07/20/13 00:00:00,6203,16,4,1,16,12,8,3,58,2,1031,3,1031.2007,128,173,E,,09/21/17 00:00:00,
15,114053,0,0,1606,15,0,11606000015,160600015,3654, ,S,GRAND,BLVD, ,P,WATTS,2.5,FIRST FLOOR STORAGE ROOM,INTERNATIONAL INSTITUTE,,3654,S. GRAND                0,63118,12/28/12 00:00:00,1606,20,7,1,15,6,19,7,45,3,1164,5,1164.5002,140,20,E,,09/21/17 00:00:00,
17,547287,0,0,4562,80,0,14562000080,456200080,1033, , ,WHITTIER,ST, ,P,WATTS 909,0.75,BOILER ROOM BY WATER HEATER,ALTERNATIVE SOUTH/STEVENS,,1033,N. WHITTIER,63113,08/16/13 00:00:00,4562,18,2,2,18,4,58,13,25,5,1111,2,1111.3001,231,29,O,,09/21/17 00:00:00,
18,314847,0,0,3970,10,0,13970000010,397000010,600, ,S,TAYLOR,AV, ,P,WATTS 909,1.5,1ST FL.S.W. CORNER OF MECH ROOM,WASHINGTON UNIV.,BRYAN FROST,660,S. EUCLID,63108,04/27/13 00:00:00,3970.0085,17,4,2,17,10,38,11,23,5,1186,1,1186.1021,224,317,E,,09/21/17 00:00:00,
19,KB-0365,92,0,9999.9,0,0,19999900000,999990000,915, , , , , ,S,AMES/COLT 200,3,BLDG. #3 LOWER LEVEL,COCHRAN HOSPITAL,ED BEATY,915,N. GRAND,63106,06/07/10 00:00:00,9999.9,99,99,99,99,99,99,99,99,0,9999.9,0,9999.9,499,0,O,,09/21/17 00:00:00,
20,3142333,0,0,2097,330,0,12097000330,209700330,3621, , ,UTAH,PL, ,P,WILKENS 975,0.75,SO.SIDE OF HOUSE FACING STREET,ALBA BLANDIS,,3621,UTAH PL,63116,04/25/13 00:00:00,2097,15,1,1,15,3,15,6,43,2,1163.01,1,1163.1005,138,580,O,,09/21/17 00:00:00,
21,61253,0,0,3805.03,373,0,13805030373,380503373,5545, , ,WELLS,AV, ,P,WATTS 009,0.75,FIRST FLOOR MECHANICAL ROOM,FRIENDLY TEMPLE ARTS,,5545,WELLS,63112,10/10/07 00:00:00,3805.03,22,4,1,22,4,78,12,64,5,1061,1,1061.1,239,73,O,,09/21/17 00:00:00,
22,9013302,0,0,5985,200,0,15985000200,598500200,3915, , ,WATSON,RD, ,S,HERSEY #2 DCVA,4,BASEMENT RISER CLOSET,WATSON MEDICAL BUILDING,,3915,WATSON,63109,08/22/05 00:00:00,5985,23,7,1,23,7,9,4,59,2,1038,2,1038.2007,130,254,O,,09/21/17 00:00:00,
23,276169,0,0,3894,190,0,13894000190,389400190,4506, , ,MARYLAND,AV, ,P,WILKENS,0.75,RIGHT SIDE TOWARD FRONT,TOM OLTMANN,,4506,MARYLAND,63108,05/18/13 00:00:00,3894,28,1,2,28,12,38,11,23,5,1124,2,1124.2005,268,210,E,,09/21/17 00:00:00,
24,155712,1,0,164,10,0,10164000010,16400010,1, , ,U S BANK PLAZA, , ,P,WATTS 909,2,BASEMENT BOILER ROOM,U.S. BANK,,1,MERCANTILE CENTER,63101,04/11/13 00:00:00,164,7,4,3,7,10,35,9,1,4,1256,3,1256.1037,261,1742,O,,09/21/17 00:00:00,
25,332569,0,0,4782,215,0,14782000215,478200215,660, ,S,EUCLID,AV, ,P,WATTS 909,1,HOPPER ROOM 6002,WASHINGTON U. MED. SCHOOL,BRYAN FROST,660,S EUCLID,63110,01/23/13 00:00:00,4782,17,4,2,17,10,38,11,23,5,1186,1,1186.102,224,563,E,,09/21/17 00:00:00,
26,30186,0,0,4002,60,0,14002000060,400200060,1111, , ,MACKLIND,AV, ,P,WATTS 009,1,BY MOP SINK - 1441 N.KINGSHIWAY,WHITE CASTLE SYSTEMS INC.,,1111,MACKLIND AVE.,63110,06/03/11 00:00:00,4002.0089,17,6,2,17,11,41,5,39,2,1045,3,1045.3002,206,318,O,,09/21/17 00:00:00,
27,240096,0,0,4504,361,0,14504000361,450400361,2415, ,N,KINGSHIGHWAY,BLVD, ,S,WATTS 709,6,BSMT. SW BOILER ROOM FIRE PUMP,NORTH VIEW VILLAGE,,2415,N KINGSHIGHWAY,63113,08/27/13 00:00:00,4504,1,6,2,18,3,52,12,35,5,1065,1,1065.1004,343,12,O,,09/21/17 00:00:00,
28,A246399,0,0,1792,150,0,11792000150,179200150,3300, ,S,2ND,ST, ,P,WTTS 909,1.5,BUILDING R SOUTHEAST CORNER,SIGMA CHEMICAL,,3300,S 2ND ST,63118,09/09/13 00:00:00,1792,9,8,1,9,10,20,8,15,3,1246,1,1246.1027,145,366,E,,09/21/17 00:00:00,
29,38197,4,0,5182,20,0,15182000020,518200020,3826, , ,NATURAL BRIDGE,AV, ,P,WATTS 009,1,LUNCH ROOM OVER OVENS,BEAUMONT HIGH SCHOOL,,3826,NATURAL BRIDGE,63107,08/06/13 00:00:00,5182,3,6,2,3,2,59,13,26,4,1104,3,1104.3,310,7,E,,09/21/17 00:00:00,
30,430442,0,0,4782,215,0,14782000215,478200215,660, ,S,EUCLID,AV, ,P,WATTS 909,1.25,MCD ROOM 2012 MECHANICAL AREA,WASHINGTON U. MED. SCHOOL,,660,S EUCLID,63110,01/23/13 00:00:00,4782,17,4,2,17,10,38,11,23,5,1186,1,1186.102,224,563,E,,09/21/17 00:00:00,
31,130626,0,0,5734,70,0,15734000070,573400070,5900, , ,NATURAL BRIDGE,AV, ,S,WATTS 709,1.5,BACK STOREROOM,CONNELLY'S GOODY-GOODY,TIM CONNELLY,5900,NATURAL BRIDGE,63120,04/30/09 00:00:00,5734,22,3,2,22,10,50,12,65,5,1062,1,1062.1001,347,7,E,,09/21/17 00:00:00,
32,322284,0,0,1898,450,0,11898000450,189800450,2526, , ,BALDWIN,ST, ,S,WATTS 909,8,NW CORNER AZO DYE,SENSIENT COLORS,JIM HUCK,2526,BALDWIN,63106,04/05/13 00:00:00,1899,5,1,1,5,8,59,14,8,4,1271,1,1201.1018,316,815,E,,09/21/17 00:00:00,
33,H02329,1,0,3888,8101,0,13888008101,388800101,500, ,S,KINGSHIGHWAY,BLVD, ,S,FEBCO RPZ,2,9TH FL.MECH ROOM MIDDLE SECTION,BARNES JEWISH HOSPITAL,,1,BARNES JEWISH PLAZA,63110,03/06/13 00:00:00,3888.0085,17,4,2,17,10,38,11,23,5,1124,3,1124.4004,224,19,E,,09/21/17 00:00:00,
34,149574,0,0,1956,280,0,11956000280,195600280,3450, , ,LINDELL,BLVD, ,P,WATTS 909,3,STORAGE ROOM - OLIVER HALL,ST.LOUIS UNIV/MAIN,JEFF HOVEY,3450,LINDELL,63103,08/31/13 00:00:00,1956.0082,19,5,1,19,5,37,10,3,4,1211,1,1211.3022,254,31,E,,09/21/17 00:00:00,
35,260536,1,0,4002,348,0,14002000348,400200348,5650, , ,OAKLAND,AV, ,P,WATTS 009,2,PANTRY AIR HANDLER ROOM,HAMPTON INN,,5650,OAKLAND,63110,04/06/12 00:00:00,4002.0087,17,6,2,17,11,41,5,39,2,1045,3,1045.3003,206,63,E,,09/21/17 00:00:00,
36,DJO674,0,0,2380,70,0,12380000070,238000070,3225, ,N,FLORISSANT,AV, ,S,AMES 2000 DC,6,BOILER ROOM AT FIRE PUMP,LITTLE SISTERS OF POOR,,3225,N FLORISSANT,63107,11/12/13 00:00:00,2380,3,9,2,5,11,60,14,7,4,1202,1,1202.2015,317,144,O,,09/21/17 00:00:00,
37,162715,4,0,217,40,0,10217000040,21700040,1400, , ,CLARK,AV, ,P,WATTS 009,0.75,UNDER PLATFORM ON HOSE BIB,BI-STATE,,1400,CLARK ST.,63103,04/12/13 00:00:00,217.0082,7,5,3,7,7,36,9,1,4,1255,2,1255.202,263,124,E,,09/21/17 00:00:00,
38,0840660,0,0,4350,120,0,14350000120,435000120,4300, , ,GOODFELLOW,BLVD, ,P,WATTS 900,2,BLDG 103 BASEMENT SOUTH END,GENERAL SERVICE ADMIN.,,4300,GOODFELLOW,63120,07/18/13 00:00:00,4350.0087,22,3,2,22,11,70,17,66,6,1269,3,1071.3003,340,32,E,,09/21/17 00:00:00,
39,624881,92,0,9999.9,0,0,19999900000,999990000,1, , , , , ,P,WATTS 909 QT,1,BUILDING 229 FILTER BEER,ANHEUSER BUSCH INC.,NICK STESKA,1,BUSCH PLACE,63118,09/24/13 00:00:00,9999.9,99,99,99,99,99,99,99,99,0,9999.9,0,9999.9,499,0,O,,09/21/17 00:00:00,
40,33440,1,0,6486,40,0,16486000040,648600040,1301, , ,HOGAN,ST, ,P,WATTS 009,1.5,BASEMENT SO.WATER SERV.PUMP RM.,JEFFERSON SCHOOL,,1301,HOGAN,63106,08/06/13 00:00:00,6486.0081,5,3,2,5,5,61,14,5,4,1275,1,1213.1002,258,245,O,,09/21/17 00:00:00,
41,259231,4,0,4096,400,0,14096000400,409600400,4543, , ,SHAW,AV, ,P,WATTS 009,1,BUS SHELTER SO.MAINTENANCE DOOR,MO. BOTANICAL GARDEN,,4543,SHAW,63110,05/26/13 00:00:00,4096.0083,8,1,1,8,3,13,5,40,2,1171,1,1171.4003,217,164,O,,09/21/17 00:00:00,
42,164290,0,0,2356,10,0,12356000010,235600010,2939, , ,MAGAZINE,ST, ,S,WATTS #709 DC,4,EAST WING MECHANICAL ROOM,GARRISON CARE CENTER,,2939,MAGAZINE,63106,07/02/12 00:00:00,2356,3,3,2,19,11,59,14,8,4,1271,1,1201.2005,316,338,O,,09/21/17 00:00:00,
43,153297,0,0,266,10,0,10266000010,26600010,900, ,N,TUCKER,BLVD, ,P,WATTS 909,0.75,CHILLER RM. SUB-BASEMENT,POST DISPATCH,BOB EMERY,900,N. TUCKER,63101,12/19/12 00:00:00,266,5,6,3,7,10,35,14,5,4,1256,1,1256.1007,261,410,E,,09/21/17 00:00:00,
44,71040,0,0,6464,20,0,16464000020,646400020,1, ,S,BROADWAY, , ,S,HERSEY BEECO MODEL 2,10,IN BASEMENT BY FIRE PUMP,HILTON/ST. LOUIS @ BALLPK,GARY GEBBART,1,BROADWAY,63102,10/31/13 00:00:00,6464,7,4,3,7,10,35,9,1,4,1256,3,1256.1078,261,23,O,,09/21/17 00:00:00,
45,60402,0,0,2282,400,0,12282000400,228200400,1925, , ,CHOUTEAU,AV, ,P,WATTS009,0.5,NORTH WEST AIR HANDLER,SPRINT,,1925,CHOUTEAU,63103,03/18/12 00:00:00,2282,6,5,3,6,10,36,9,2,4,1274,1,1222.3009,254,13,O,,09/21/17 00:00:00,
46,298175,0,0,489,10,0,10489000010,48900010,10, ,N,TUCKER,BLVD, ,P,WATTS 909,6,SUB-BASEMENT NO.WEST OF BLDG.,CIVIL COURTS BLDG,,10,N. TUCKER,63103,07/02/13 00:00:00,489,7,4,3,7,10,35,9,1,4,1256,3,1256.1072,261,410,E,,09/21/17 00:00:00,
47,320581,0,0,541,200,0,10541000200,54100200,800, ,N,17TH,ST, ,S,WATTS #709,8,NO.SIDE MIDDLE OF BUILDING,CAR QUEST,,800,N 17TH STREET,63106,07/18/13 00:00:00,541,5,7,3,5,3,36,14,5,4,1255,3,1255.1004,262,351,E,,09/21/17 00:00:00,
48,213075,0,0,1960,10,0,11960000010,196000010,3628, , ,LINDELL,BLVD, ,P,WATTS,1.5,SO. WALL BOILER ROOM,ST. FRANCIS XAVIER CHURCH,,3628,LINDELL,63108,01/20/12 00:00:00,1960,19,7,1,19,7,37,10,9,4,1193,2,1193.2005,225,31,E,,09/21/17 00:00:00,
49,32803,1,0,3888,8101,0,13888008101,388800101,400, ,S,KINGSHIGHWAY,BLVD, ,P,WATTS 009,0.5,12TH FLOOR  ROOM 12-185,CHILDRENS HOSPITAL,,400,S KINGSHIGHWAY,63110,11/20/12 00:00:00,3888.0081,17,4,2,17,10,38,11,23,5,1124,3,1124.4003,224,19,E,,09/21/17 00:00:00,
50,13041,0,0,3009,80,0,13009000080,300900080,6900, ,S,BROADWAY, , ,S,GRINNELLCA,6,NORTHWALL OF WAREHOUSE,AMERICAN OVERHEAD DOOR,,6900,S BROADWAY,63111,08/16/11 00:00:00,3009.0085,11,4,1,11,4,1,1,48,1,1018,4,1018.4,102,23,E,,09/21/17 00:00:00,
51,242796,0,0,98,10,1,10098000010,9800010,411, ,N,4TH,ST, ,P,WATTS 909,1.25,4TH FL. SOUTH AT AH S-4,FEDERAL RESERVE BANK,BRUCE KALMER,0,P.O. BOX 442,63166,03/13/11 00:00:00,98,7,4,3,7,10,35,9,1,4,1256,2,1256.3005,261,642,O,,09/21/17 00:00:00,
52,173950,0,0,4782,215,0,14782000215,478200215,660, ,S,EUCLID,AV, ,P,WATTS 909,4,NO RM.0023 MECHANICAL AREA,WASHINGTON U. MED. SCHOOL,BRYAN FROST,660,S EUCLID (NO.BLDG),63110,01/23/13 00:00:00,4782,17,4,2,17,10,38,11,23,5,1186,1,1186.102,224,563,E,,09/21/17 00:00:00,
53,543318,0,0,829,20,0,10829000020,82900020,1727, , ,LOCUST,ST, ,P,WATTS 909,0.75,7th FLOOR MECH ROOM,MERS (METRO REHAB),GARY SIDES,1727,LOCUST ST,63103,06/29/13 00:00:00,829,19,6,3,6,10,36,9,1,4,1255,1,1255.1028,262,77,O,,09/21/17 00:00:00,
54,0408C9,4,0,297,15,0,10297000015,29700015,2306, ,N,BROADWAY, , ,S,AMES MODEL DC,4,E.SIDE OF BLDG/STORAGE 55 PRODU,UNITED FRUIT & PRODUCE,RON JOHNSON,2306,N. BROADWAY,63102,05/21/13 00:00:00,317,5,4,1,5,12,64,15,4,4,1266,2,1266.1013,338,16,E,,09/21/17 00:00:00,
55,C7604,1,0,1042.18,100,7,11042180100,104218100,311, ,N,LEONARD,AV, ,P,FEBCO DB CK,4,BASEMENT PINK BUILDING,DRAKE PLAZA APTS.,,311,N LEONARD,63103,06/18/11 00:00:00,1042.1883,19,5,1,19,9,77,10,9,4,1211,1,1211.3016,255,705,O,,09/21/17 00:00:00,
56,E10016,0,0,1445,10,0,11445000010,144500010,2725, , ,ALHAMBRA,CT, ,S,GRINNELL DCA,4,SPRINKLER CLOSET LL CLASSRM 5,GRACE HILL HEADSTART,,2725,ALHAMBRA,63118,03/18/13 00:00:00,1445,8,7,2,8,7,25,7,19,3,1174,4,1174.4004,242,1346,O,,09/21/17 00:00:00,
57,GC436,0,0,1220,10,0,11220000010,122000010,3908, ,N,BROADWAY, , ,P,NEPTUNE RP,2,ABOVE FEATHER PROCESSOR,STAR BEDDING,FLOYD,3908,N BROADWAY,63147,04/07/13 00:00:00,1220,2,1,1,2,1,64,15,4,4,1267,1,1267.3005,338,16,E,,09/21/17 00:00:00,
58,24149,0,0,1278.02,10,0,11278020010,127802010,1402, ,S,GRAND,BLVD, ,P,WATTS 909,1,CEILING OF ROOM 167,ST. LOUIS UNIVERSITY,TOM THEURER,1402,SOUTH GRAND,63104,08/31/13 00:00:00,1278.02,19,4,2,19,4,31,10,11,3,1273,3,1185.1013,253,20,E,,09/21/17 00:00:00,
59,308325,0,0,4549,20,0,14549000020,454900020,5535, , ,DELMAR,BLVD, ,P,WATTS 909,1,HOUSEKEEPING ROOM 4423 IN X-RAY,CONNECT CARE,,5535,DELMAR,63112,05/12/11 00:00:00,4549,26,6,1,26,7,48,12,63,5,1122,3,1122.3005,236,1,O,,09/21/17 00:00:00,
60,395287,0,0,2463,11,0,12463000011,246300011,169, ,E,GRAND,BLVD, ,P,WATTS 709,0.75,TRACTOR SHOP BY WATER HEATER,PROCTOR AND GAMBLE,,169,EAST GRAND AVE,63147,03/29/12 00:00:00,2463,2,1,1,2,1,64,15,30,6,1097,4,1097.1023,339,494,O,,09/21/17 00:00:00,
61,F3045,2,0,2175,150,0,12175000150,217500150,1200, ,S,GRAND,BLVD, ,P,FLOWMATIC RPZ,2,9TH FLOOR MECHANICAL ROOM 915,ST. LOUIS UNIVERSITY,CURT,1200,S. GRAND,63104,08/31/13 00:00:00,2174,19,4,2,19,4,31,10,11,3,1273,3,1185.1013,253,20,E,,09/21/17 00:00:00,
62,5754,0,0,2463,11,0,12463000011,246300011,169, ,E,GRAND,BLVD, ,P,WATTS 009,1,4TH FLOOR BLDG. #1,PROCTOR AND GAMBLE,,169,EAST GRAND AVE,63147,03/29/12 00:00:00,2463,2,1,1,2,1,64,15,30,6,1097,4,1097.1023,339,494,O,,09/21/17 00:00:00,
63,F031002,0,0,3925,170,0,13925000170,392500170,3733, , ,LINDELL,BLVD, ,S,FEBCO 850,6,SPRINKLER VALVE ROOM GARAGE,FRONT DOOR LLC,,3733,LINDELL,63108,11/26/13 00:00:00,3925,18,1,2,19,7,77,10,9,4,1193,2,1193.2002,232,31,O,,09/21/17 00:00:00,
64,164333,0,0,2463,11,0,12463000011,246300011,169, ,E,GRAND,BLVD, ,P,WATTS 909,3,CASCADE PLANT 1ST FL.CEILING,PROCTOR AND GAMBLE,,169,EAST GRAND AVE,63147,03/29/12 00:00:00,2463,2,1,1,2,1,64,15,30,6,1097,4,1097.1023,339,494,O,,09/21/17 00:00:00,
65,202225,0,0,2463,11,0,12463000011,246300011,169, ,E,GRAND,BLVD, ,P,WATTS 909,4,BOILER HOUSE BUILDING 22,PROCTOR AND GAMBLE,,169,EAST GRAND AVE,63147,03/29/12 00:00:00,2463,2,1,1,2,1,64,15,30,6,1097,4,1097.1023,339,494,O,,09/21/17 00:00:00,
66,199170,0,0,2463,11,0,12463000011,246300011,169, ,E,GRAND,BLVD, ,P,WATTS 909,4,BOILER BUILDING OR HOUSE 22,PROCTOR AND GAMBLE,,169,EAST GRAND AVE,63147,03/29/12 00:00:00,2463,2,1,1,2,1,64,15,30,6,1097,4,1097.1023,339,494,O,,09/21/17 00:00:00,
67,613001,0,0,4782,215,0,14782000215,478200215,660, ,S,EUCLID,AV, ,P,WATTS 909,0.75,MCD ROOM 0266 LAB SVC,WASHINGTON U. MED. SCHOOL,,660,S EUCLID,63110,01/22/13 00:00:00,4782,17,4,2,17,10,38,11,23,5,1186,1,1186.102,224,563,E,,09/21/17 00:00:00,
68,06280,0,0,6122,10,0,16122000010,612200010,3824, , ,WATSON,RD, ,S,WATTS DC 07,2,BASEMENT REAR OF BLDG. SO.WALL,MO. ORTHOPEDIC,,3824,WATSON,63109,10/15/11 00:00:00,6122,23,7,2,23,7,9,4,59,2,1141.02,2,1141.5005,130,254,E,,09/21/17 00:00:00,
69,327478,0,0,4782,215,0,14782000215,478200215,660, ,S,EUCLID,AV, ,M,WATTS 909,0.75,ROOM 213 FOR ICE MAKER,WASHINGTON U. MED. SCHOOL,,660,S. EUCLID,63110,01/23/13 00:00:00,4782,17,4,2,17,10,38,11,23,5,1186,1,1186.102,224,563,E,,09/21/17 00:00:00,
70,327488,0,0,4782,215,0,14782000215,478200215,660, ,S,EUCLID,AV, ,M,WATTS 909,0.75,ROOM 213 FOR WALK-IN BOX,WASHINGTON U. MED. SCHOOL,,660,S. EUCLID,63110,01/23/13 00:00:00,4782,17,4,2,17,10,38,11,23,5,1186,1,1186.102,224,563,E,,09/21/17 00:00:00,
71,604341,0,0,3970,100,0,13970000100,397000100,645, ,S,NEWSTEAD,AV, ,P,WATTS 909,1,AUTOCLAVE ROOM-645 S. NEWSTEAD,PFIZER/S.M.WILSON,K.MOLLETT,2185,HAMPTON AVE,63139,05/23/11 00:00:00,3970.0085,17,4,2,17,10,38,11,23,5,1186,1,1186.1021,224,327,O,,09/21/17 00:00:00,
72,100526,0,0,4200.07,30,0,14200070030,420007030,7021, , ,HALL,ST, ,S,WATTS 709 DBD. CHECK,2.5,SPRINKLER ROOM - under steps,NORFOLK & SOUTHERN,,7021,HALL ST,63147,04/09/13 00:00:00,4200.0783,2,2,1,2,2,79,15,30,6,1270,2,1085.2014,321,283,O,,09/21/17 00:00:00,
73,256582,0,0,3474.18,105,0,13474180105,347418105,6240, , ,MCKISSOCK,AV, ,S,WATTS 709,6,EAST WALL SPRINKLER SYSTEM,STERICYCLE,,6240,MCKISSOCK,63147,02/01/12 00:00:00,3474.1889,2,2,1,2,2,79,15,30,6,1270,2,1085.203,339,685,E,,09/21/17 00:00:00,
74,310831,0,0,2109,180,0,12109000180,210900180,3815, , ,MAGNOLIA,AV, ,P,WATTS 909,2,IN BOILER ROOM,MISSOURI SCHOOL FOR BLIND,,3815,MAGNOLIA,63110,09/24/13 00:00:00,2109,8,8,2,8,8,27,6,20,2,1174,5,1174.5005,218,121,O,,09/21/17 00:00:00,
75,J20769H,0,0,2546,105,0,12546000105,254600105,3227, ,N,9TH,ST, ,S,AMES 4",4,SOUTHWEST CORNER-BACK BLDG.,CRESCENT PLANNING,,3227,N 9TH ST,63147,09/13/13 00:00:00,2546,2,1,1,2,1,64,15,4,4,1267,2,1267.1055,341,81,O,,09/21/17 00:00:00,
76,370111,0,0,4071.04,70,0,14071040070,407104070,5100, , ,COLUMBIA,AV, ,P,WATTS 909 RVPZ,1.5,SOUTHWEST WELDING WORK STATION,NESTLE/PURINA,,5100,COLUMBIA,63139,10/01/13 00:00:00,4071.0483,8,2,1,8,1,13,4,42,2,1272,2,1134.1003,214,362,E,,09/21/17 00:00:00,
77,124033,0,0,1956,280,0,11956000280,195600280,3450, , ,LINDELL,BLVD, ,P,WATTS 009,2,STORAGE ROOM,ST.LOUIS UNIV/MAIN,JEFF HOVEY,3450,LINDELL,63103,08/31/13 00:00:00,1956.0082,19,5,1,19,5,37,10,3,4,1211,1,1211.3022,254,31,E,,09/21/17 00:00:00,
78,287923,0,0,1777,20,0,11777000020,177700020,3500, , ,DEKALB,ST, ,P,WATTS 909 QTS,1.5,TRUCK WELL,SIGMA CHEMICAL,,3500,DEKALB,63118,09/16/13 00:00:00,1777,20,4,1,20,4,18,1,46,3,1246,1,1246.1044,145,522,E,,09/21/17 00:00:00,
79,447495,0,0,928,185,0,10928000185,92800185,2651, , ,OLIVE,ST, ,P,WATTS 909 RPZ,1.5,BOILER ROOM WEST END 12'OF GRD,AT & T,,2651,OLIVE,63103,04/13/13 00:00:00,928,6,5,3,6,10,37,10,9,4,1275,2,1214.1038,255,4,O,,09/21/17 00:00:00,
