CntrlType,CntrlNum,PrclErr,AddrAdjusted,CancelType,CityBlock,Parcel,OwnerCode,Handle,Parcel9,AddrNum,AddrSuf,StDir,StName,StType,UnitNum,CancelDate,OwnerName,OccName,BillCO,BillAddr,BillCity,BillState,BillZIP,GeoCityBLockPart,Ward10,Precinct10,InspArea10,Ward00,Precinct02,Nbrhd,CDADist,CDASubDist,PoliceDist,CensTract10,CensGroup10,CensBlock00,AsrNbrhd,NLC,Parity,TmpCityBlock,TmpParcel,FirstDate,LastDate,UpDateGeo
XM,10834,0,0,,5116,180,0,15116000180,511600180,7415, , ,EUGENE,AV, ,,STORM AUTOMOTIVE,STORM AUTOMOTIVE,,7415 EUGENE,ST. LOUIS,MO,0.0000,5116,12,4,2,12,2,4,3,49,1,1011,2,1011.2002,110,758,O,5116,180,11/20/03 00:00:00,09/21/17 00:00:00,
XM,10833,0,0,,6489,10,0,16489000010,648900010,333, , ,WASHINGTON,AV, ,,HAMPTON INN,HAMPTON INN,,333 WASHINGTON,ST. LOUIS,MO,0.0000,6489,7,4,3,7,10,35,9,1,4,1256,2,1256.2008,261,3,O,6489,10,02/14/03 00:00:00,09/21/17 00:00:00,
XM,10832,0,0,,1949,372,1,11949000372,194900372,2909, , ,LACLEDE,AV, ,,SIGMA CHEMICAL,SIGMA CHEMICAL,,2909 LACLEDE,ST. LOUIS,MO,0.0000,1949.0084,6,5,3,6,10,37,10,3,4,1211,1,1211.2003,254,54,O,1949,9005,12/13/02 00:00:00,09/21/17 00:00:00,01/17/17 00:00:00
XM,10831,1,0,,958,200,1,10958000200,95800200,900, ,N,23RD,ST, ,,SHELL BUILDING,SHELL BUILDING,,900 NORTH 23RD STREET,ST. LOUIS,MO,63103.0000,959,5,1,2,5,6,36,14,5,4,1275,1,1213.2023,258,244,E,958,200,12/05/01 00:00:00,09/21/17 00:00:00,
XM,10830,4,0,,367,10,0,10367000010,36700010,1501, ,S,BROADWAY, , ,,BROADWAY FORD,BROADWAY FORD,,1501 S BROADWAY ST,ST. LOUIS,MO,63104.0000,367,7,6,2,7,12,20,8,14,3,1276,3,1234.1011,267,23,O,367,10,12/15/92 00:00:00,09/21/17 00:00:00,
XM,10829,0,0,,1023.04,130,0,11023040130,102304130,3101, , ,WASHINGTON,AV, ,,HARRIS CAB COMPANY,HARRIS CAB COMPANY,,3101 WASHINGTON,ST. LOUIS,MO,0.0000,1023.04,19,5,1,19,9,37,10,9,4,1211,1,1211.1012,255,3,O,1023.04,130,10/16/01 00:00:00,09/21/17 00:00:00,
XM,10828,0,0,,2133,10,0,12133000010,213300010,2748, , ,HENRIETTA,ST, ,,ST. LOUIS BOARD OF EDUCATION,HOGDEN SCHOOL,ST. LOUIS BOARD OF EDUCATION,2748 HENRIETTA,ST. LOUIS,MO,0.0000,2133,6,4,2,6,5,31,10,11,3,1231,1,1231.1011,253,208,E,2133,10,10/10/01 00:00:00,09/21/17 00:00:00,
XM,10827,0,0,,4629,290,0,14629000290,462900290,7023, , ,MANCHESTER,AV, ,,E.G.B. AUTO BODY,E.G.B. AUTO BODY,,7023 MANCHESTER AVENUE,ST. LOUIS,MO,0.0000,4629,24,3,1,24,9,43,5,61,2,1268,3,1041.301,201,62,O,4629,290,09/26/01 00:00:00,09/21/17 00:00:00,
XM,10825,0,0,,5619,20,0,15619000020,561900020,24, , ,WASHINGTON,TER, ,,THOMAS GRADY,THOMAS GRADY,SAME,24 WASHINGTON TERRACE,ST. LOUIS,MO,63112.0000,5619,28,8,2,28,10,47,11,37,5,1121,2,1121.3001,229,291,E,5619,20,08/28/01 00:00:00,09/21/17 00:00:00,
XM,10824,94,0,,9999.9,0,0,19999900000,999990000,4555, , ,DUNCAN,AV, ,,BJC HEALTH/ SOUTH,BJC HEALTH/ SOUTH,SAME,4455 DUNCAN,ST. LOUIS,MO,63103.0000,3903,17,4,2,17,10,38,11,23,5,1191.01,2,1191.3004,224,640,O,3903,9004,08/01/01 00:00:00,09/21/17 00:00:00,01/17/17 00:00:00
XM,10823,1,0,,281,8040,0,10281008040,28100040,1010, , ,ST CHARLES,ST, ,,LOFT WORKS,LOFT WORKS,SAME,1006 OLIVE ST.,ST. LOUIS,MO,63101.0000,281,7,4,3,7,10,35,9,1,4,1256,3,1256.1041,261,302,E,281,8040,05/31/01 00:00:00,09/21/17 00:00:00,
XM,10822,1,0,,281,8040,0,10281008040,28100040,417, ,N,10TH,ST, ,,MERCHANDISE MART ANNEX,1000 WASHINGTON ASSOC.,MYRA BRADLEY,3943 KINGSLAND CT.,ST. LOUIS,MO,63116.0000,281,7,4,3,7,10,35,9,1,4,1256,3,1256.1041,261,88,O,281,8040,12/15/92 00:00:00,09/21/17 00:00:00,
XM,10821,0,0,,4581.06,125,7,14581060125,458106125,4328, , ,WESTMINSTER,PL, ,,DAUGHTER OF CHARITY,DAUGHTER OF CHARITY,SAME,4328 WESTMINSTER PLACE,ST. LOUIS,MO,63108.0000,4581.06,28,9,2,28,15,38,11,23,5,1192,1,1192.1007,230,27,E,4581.06,9001,05/09/01 00:00:00,09/21/17 00:00:00,01/17/17 00:00:00
XM,10820,0,0,,3916,40,0,13916000040,391600040,4150, , ,LACLEDE,AV, ,,CHILDGARDEN,CHILDGARDEN,SAME,4150 LACLEDE,ST. LOUIS,MO,63108.0000,3916,17,2,2,17,16,38,11,23,5,1186,1,1186.1003,225,54,E,3916,40,05/09/01 00:00:00,09/21/17 00:00:00,
XM,10819,0,0,,4644,60,0,14644000060,464400060,2185, , ,HAMPTON,AV, ,,LUTHERAN LAYMEN'S LEAGUE,LUTHERAN LAYMEN'S LEAGUE,AL KOENIG,2185 HAMPTON AV,ST. LOUIS,MO,63139.0000,4644,24,4,1,24,7,11,4,60,2,1036,1,1036.1013,212,43,O,4644,60,12/15/92 00:00:00,09/21/17 00:00:00,
XM,10818,1,0,,2022,10,0,12022000010,202200010,6353, , ,WELLS,DR, ,,ST. LOUIS ZOO,ST. LOUIS ZOO,MICHAEL POTTER,#1 GOVERNMENT DR.,ST. LOUIS,MO,63110.0000,2022.0039,28,3,1,28,11,82,11,82,2,1121,3,1121.2022,206,1703,O,2022,9026,04/18/01 00:00:00,09/21/17 00:00:00,01/17/17 00:00:00
XM,10817,0,1,,84,10,1,10084000010,8400010,2,-14,S,4TH,ST, ,,DRUCO DEVELOPMENT,DRURY PLAZA,SAME,14 SOUTH 4TH STREET,ST. LOUIS,MO,63102.0000,84,7,4,3,7,10,35,9,1,4,1256,2,1256.3013,261,546,E,84,9501,03/15/01 00:00:00,09/21/17 00:00:00,01/17/17 00:00:00
XM,10816,0,0,,2595.03,10,0,12595030010,259503010,4025, , ,MINNESOTA,AV, ,,DUNN-MARQUETTE RECREATION CENTER,DUNN-MARQUETTE RECREATION CENTER,SAME,4025 MINNESOTA,ST. LOUIS,MO,63118.0000,2595.03,20,6,2,20,2,16,7,45,3,1157,2,1157.2003,141,101,O,2595.03,9001,03/15/01 00:00:00,09/21/17 00:00:00,01/17/17 00:00:00
XM,10815,0,0,,383,190,0,10383000190,38300190,1805, ,S,8TH,ST, ,,TRINITY LUTHERAN CHURCH,TRINITY LUTHERAN CHURCH,SAME,1805 SOUTH 8TH STREET,ST. LOUIS,MO,63104.0000,383,7,6,2,7,12,21,8,16,3,1276,3,1234.1037,248,360,O,383,190,03/08/01 00:00:00,09/21/17 00:00:00,
XM,10814,4,0,,4575,295,0,14575000295,457500295,600, ,N,EUCLID,AV, ,,TRINITY EPISCOPAL CHURCH,TRINITY EPISCOPAL CHURCH,SAME,600 NORTH EUCLID,ST. LOUIS,MO,63110.0000,4575,18,6,1,18,9,38,13,24,5,1124,1,1124.1001,230,65,E,4575,9002,02/22/01 00:00:00,09/21/17 00:00:00,01/17/17 00:00:00
XM,10813,0,0,,901,20,0,10901000020,90100020,1914, , ,OLIVE,ST, ,,1914 L.L.C.,1914 L.L.C.,ROB LIPPERT,1914 OLIVE,ST. LOUIS,MO,63103.0000,901,19,6,3,6,10,36,9,1,4,1275,2,1214.105,257,4,E,901,20,02/07/01 00:00:00,09/21/17 00:00:00,
XM,10812,0,0,,2832,20,0,12832000020,283200020,5500, ,S,BROADWAY, , ,,THE RIVERVIEW FACILITY,THE RIVERVIEW FACILITY,SAME,5500 SOUTH BROADWAY,ST. LOUIS,MO,63111.0000,2832.0089,11,5,1,11,6,1,1,46,1,1156,1,1156.1009,101,23,E,2832,20,01/18/01 00:00:00,09/21/17 00:00:00,
XM,10811,0,0,,473.03,70,0,10473030070,47303070,1321, ,S,11TH,ST, ,,,KINGDON HOUSE,,1321 S 11TH ST,ST. LOUIS,MO,63104.0000,473.03,7,5,2,7,7,34,8,13,3,1274,1,1224.3006,249,185,O,473.03,70,12/15/92 00:00:00,09/21/17 00:00:00,
XM,10810,0,0,,3863.18,800,0,13863180800,386318800,933, , ,BELT,AV, ,,HYLTON POINT APTS. II,HYLTON POINT APTS. II,SAME,933 BELT,ST. LOUIS,MO,63112.0000,3863.1883,26,4,2,26,6,48,12,63,5,1055,2,1055.3004,236,55,O,3863.18,9009,12/28/00 00:00:00,09/21/17 00:00:00,01/17/17 00:00:00
XM,10809,4,0,,4354,310,0,14354000310,435400310,3801, , ,UNION,BLVD, ,,UNION SEVENTY PARTNERSHIP,UNION SEVENTY PARTNERSHIP,CLARK PROPERTIES,5391 BROWN,ST. LOUIS,MO,63115.0000,4354.0083,22,3,2,22,11,70,17,66,6,1269,6,1071.2003,340,18,O,4354,310,12/28/00 00:00:00,09/21/17 00:00:00,
XM,10808,0,0,,4354,390,1,14354000390,435400390,5391, , ,BROWN,AV, ,,ATTN. WAYNE WEIDEMANN,UNION SEVENTY PARTNERSHIP,CLARK PROPERTIES,5391 BROWN AVENUE,ST. LOUIS,MO,63115.0000,4354.0081,22,3,2,22,11,70,17,66,6,1269,6,1071.2003,340,371,O,4354,390,12/28/00 00:00:00,09/21/17 00:00:00,
XM,10807,0,0,,3998.03,40,0,13998030040,399803040,5000, , ,MANCHESTER,AV, ,,BARNES-JEWISH,BARNES-JEWISH,SAME,5000 MANCHESTER,ST. LOUIS,MO,63110.0000,3998.0383,10,13,1,10,6,12,5,40,2,1045,3,1045.301,216,62,E,3998.03,40,12/12/00 00:00:00,09/21/17 00:00:00,
XM,10806,87,0,,907,120,0,10907000120,90700120,2025, , ,OLIVE,ST, ,,WELSCH FLATNESS & LUTZ,WELSCH FLATNESS & LUTZ,SAME,2025 OLIVE,ST. LOUIS,MO,63103.0000,907,6,5,3,6,10,36,9,1,4,1275,2,1214.1046,257,4,O,907,9003,12/12/00 00:00:00,09/21/17 00:00:00,01/17/17 00:00:00
XM,10805,0,0,,1282,55,0,11282000055,128200055,3200, , ,PARK,AV, ,,MOUNT ZION ELDERLY APTS.,MOUNT ZION ELDERLY APTS.,THOMAS L. HOFF,3200 PARK,ST. LOUIS,MO,63104.0000,1282,19,4,2,19,4,31,10,11,3,1273,4,1173.4,253,15,E,1282,55,11/21/00 00:00:00,09/21/17 00:00:00,
XM,10804,0,0,,3858,20,1,13858000020,385800020,956, , ,HAMILTON,AV, ,,,,,,,,0.0000,3858,26,4,2,26,9,48,12,63,5,1053,2,1053.2,235,34,E,3858,20,11/02/00 00:00:00,09/21/17 00:00:00,
XM,10803,0,0,,4350,120,0,14350000120,435000120,4300, , ,GOODFELLOW,BLVD, ,,THURGOOD MARSHALL ACADEMY,THURGOOD MARSHALL ACADEMY,IRENE JOHNSON,4300 GOODFELLOW,ST. LOUIS,MO,63102.0000,4350.0087,22,3,2,22,11,70,17,66,6,1269,3,1071.3003,340,32,E,4350,120,10/25/00 00:00:00,09/21/17 00:00:00,
XM,10802,0,0,,6196,100,0,16196000100,619600100,6759, , ,CHIPPEWA,ST, ,,CATHOLIC SUPPLY,CATHOLIC SUPPLY,BOB STUTTE,6759 CHIPPEWA,ST. LOUIS,MO,63109.0000,6196,16,6,1,16,15,9,4,59,2,1031,1,1031.1008,134,14,O,6196,100,10/19/00 00:00:00,09/21/17 00:00:00,
XM,10801,0,0,,209,25,0,10209000025,20900025,1401, , ,CLARK,AV, ,,KIEL CENTER PARTNERS,KIEL CENTER PARTNERS,FRED CORSI,1401 CLARK,ST. LOUIS,MO,63103.0000,209,7,4,3,7,8,36,9,1,4,1255,2,1255.2011,262,124,O,209,25,03/15/95 00:00:00,09/21/17 00:00:00,
XM,10800,4,0,,4741,10,0,14741000010,474100010,5247, , ,FYLER,AV, ,,ST. LOUIS CHARTER SCHOOL,ST. LOUIS CHARTER SCHOOL,SAME,5247 FYLER,ST. LOUIS,MO,63139.0000,4741,10,9,1,10,13,14,4,42,2,1272,1,1131.1012,119,165,O,4741,9001,09/19/00 00:00:00,09/21/17 00:00:00,01/17/17 00:00:00
XM,10799,0,0,,3752,595,0,13752000595,375200595,3969, , ,WASHINGTON,AV, ,,GREATER BETHLEHEM ELDERLY APTS.,GREATER BETHLEHEM ELDERLY APTS.,,3969 WASHINGTON,ST. LOUIS,MO,63108.0000,3752.0087,18,2,2,18,4,38,13,25,5,1193,1,1193.1005,230,3,O,3752,9006,09/07/00 00:00:00,09/21/17 00:00:00,01/17/17 00:00:00
XM,10798,4,0,,3919.04,330,0,13919040330,391904330,22, ,S,SARAH,ST, ,,R.C. CONSTRUCTION COMPANY,R.C. CONSTRUCTION COMPANY,SAME,22 S. SARAH,ST. LOUIS,MO,63108.0000,3919.04,17,2,2,17,16,38,11,23,5,1186,1,1186.1002,225,387,E,3919.04,9501,09/05/00 00:00:00,09/21/17 00:00:00,01/17/17 00:00:00
XM,10797,0,0,,4589,102,0,14589000102,458900102,4353, , ,CLAYTON,AV, ,,BJI MEZZANINE,BJI MEZZANINE,,4353 CLAYTON ROAD,ST. LOUIS,MO,63110.0000,4589.0085,17,4,2,17,10,38,11,23,5,1186,1,1186.1022,224,142,O,4589,102,10/08/98 00:00:00,09/21/17 00:00:00,
XM,10795,4,0,,4708,15,0,14708000015,470800015,5046, ,S,38TH,ST, ,,SEALERS INC.,SEALERS INC.,,5046 SOUTH 38TH STREET,ST. LOUIS,MO,0.0000,4708,13,3,2,13,7,16,2,50,1,1154,3,1154.1003,114,776,E,4708,9001,07/27/00 00:00:00,09/21/17 00:00:00,01/17/17 00:00:00
XM,10794,1,0,,5429.01,10,0,15429010010,542901010,1003, , ,MCCAUSLAND,AV, ,,HI POINTE THEATER,HI POINTE THEATER,,1003 MCCAUSLAND AVENUE,ST. LOUIS,MO,0.0000,5429.01,28,2,1,24,11,44,5,38,2,1042,3,1042.3002,201,212,O,5429.01,10,07/12/00 00:00:00,09/21/17 00:00:00,
XM,10793,0,0,,2022,10,0,12022000010,202200010,5300, , ,LINDELL,BLVD, ,,CABANNE HOUSE,CABANNE HOUSE,SAME,5300 LINDELL,ST. LOUIS,MO,63112.0000,2022.0004,28,3,2,28,11,82,11,82,2,1121,3,1121.2005,206,31,E,2022,10,06/29/00 00:00:00,09/21/17 00:00:00,
XM,10792,0,0,,998,105,0,10998000105,99800105,2800, , ,STODDARD,ST, ,,MAMAYUMBA,MAMAYUMBA,SAME,2800 STODDARD,ST. LOUIS,MO,63106.0000,998,19,9,1,5,6,59,14,8,4,1212,2,1212.2004,256,276,E,998,105,06/27/00 00:00:00,09/21/17 00:00:00,
XM,10791,0,0,,4618.03,105,0,14618030105,461803105,6557, , ,MANCHESTER,AV, ,,CORNERSTONE STORAGE,CORNERSTONE STORAGE,BILL BOWER,6557 MANCHESTER,ST. LOUIS,MO,63139.0000,4618.03,24,6,1,24,8,43,5,61,2,1268,1,1041.201,203,62,O,4618.03,9001,06/27/00 00:00:00,09/21/17 00:00:00,01/17/17 00:00:00
XM,10790,0,0,,1960,10,0,11960000010,196000010,3634, , ,LINDELL,BLVD, ,,VERHAGEN HALL AT ST. LOUIS UNIVERSITY,VERHAGEN HALL AT ST. LOUIS UNIVERSITY,SAME,3634 LINDELL,ST. LOUIS,MO,63108.0000,1960,19,7,1,19,7,37,10,9,4,1193,2,1193.2005,225,31,E,1960,10,06/27/00 00:00:00,09/21/17 00:00:00,
XM,10789,0,0,,2046,20,0,12046000020,204600020,4000, ,S,1ST,ST, ,,POLYMER ASPHALT,POLYMER ASPHALT,,4000 S 1ST ST,ST. LOUIS,MO,0.0000,2046.0086,9,8,1,9,13,18,1,46,3,1246,1,1246.1054,145,785,E,2046,20,06/20/00 00:00:00,09/21/17 00:00:00,
XM,10788,0,0,,379,40,0,10379000040,37900040,1525, ,S,8TH,ST, ,,,,,1525 S 8TH ST,ST. LOUIS,MO,63104.0000,379,7,6,2,7,12,21,8,16,3,1276,3,1234.1009,248,360,O,379,40,12/15/92 00:00:00,09/21/17 00:00:00,
XM,10787,1,0,,526,8030,0,10526008030,52600030,701, ,N,15TH,ST, ,,CITY MUSEUM,CITY MUSEUM,,701 N 15TH ST,ST. LOUIS,MO,63103.0000,526,5,7,3,5,3,36,9,1,4,1255,3,1255.1008,262,376,O,526,8030,12/15/92 00:00:00,09/21/17 00:00:00,
XM,10786,0,0,,842,110,0,10842000110,84200110,2515, ,S,9TH,ST, ,,BOARD OF EDUCATION,HUMBOLT MIDDLE SCHOOL,SAME,911 LOCUST,ST. LOUIS,MO,63101.0000,842,7,6,2,7,9,21,8,16,3,1276,2,1234.3017,248,137,O,842,110,06/16/00 00:00:00,09/21/17 00:00:00,
XM,10785,0,0,,3667,140,0,13667000140,366700140,2715, ,N,SARAH,ST, ,,ST. MATTHEW THE APOSTLE CHURCH,ST. MATTHEW THE APOSTLE CHURCH,,2715 N. SARAH STREET,ST. LOUIS,MO,0.0000,3667,4,2,2,4,5,57,13,26,5,1114,1,1114.4002,310,80,O,3667,140,06/08/00 00:00:00,09/21/17 00:00:00,
XM,10784,0,0,,4522,510,0,14522000510,452200510,1905, , ,ARLINGTON,AV, ,,NEW SALEM BAPTIST CHURCH,NEW SALEM BAPTIST CHURCH,,1905 ARLINGTON AV,ST. LOUIS,MO,63112.0000,4522,22,5,1,22,3,50,12,65,5,1065,3,1065.4,344,71,O,4522,510,12/15/92 00:00:00,09/21/17 00:00:00,
XM,10783,94,0,,9999.9,0,0,19999900000,999990000,2315, ,N,GRAND,BLVD, ,,ST. TERESA OF AVILLA,ST. TERESA OF AVILLA,,2315 NORTH GRAND AVENUE,ST. LOUIS,MO,0.0000,1878,4,10,2,5,7,59,13,26,4,1115,2,1115.2004,309,24,O,1878,9001,05/31/00 00:00:00,09/21/17 00:00:00,01/17/17 00:00:00
XM,10782,4,0,,1876,10,0,11876000010,187600010,2401, ,N,GRAND,BLVD, ,,ST. TERESA OF AVILLA CHURCH,ST. TERESA OF AVILLA CHURCH,,2401 NORTH GRAND AVENUE,ST. LOUIS,MO,0.0000,1876,3,6,2,5,7,59,13,26,4,1115,1,1115.1009,309,24,O,1876,9002,05/31/00 00:00:00,09/21/17 00:00:00,01/17/17 00:00:00
XM,10781,0,0,,4661,200,0,14661000200,466100200,6520, , ,ARSENAL,ST, ,,MOUNT TABOR UNITED CHURCH OF CHRIST,MOUNT TABOR UNITED CHURCH OF CHRIST,SAME,6520 ARSENAL,ST. LOUIS,MO,63139.0000,4661,23,1,1,23,11,9,4,59,2,1034,2,1034.2001,131,17,E,4661,9501,05/24/00 00:00:00,09/21/17 00:00:00,01/17/17 00:00:00
XM,10780,0,0,,1484,120,0,11484000120,148400120,3504, , ,JUNIATA,ST, ,,ARTHUR GRAVES,ARTHUR GRAVES,SAME,3504 JUNIATA,ST. LOUIS,MO,63118.0000,1484,8,9,2,8,9,25,7,45,3,1165,1,1165.6005,139,146,E,1484,120,05/24/00 00:00:00,09/21/17 00:00:00,
XM,10779,0,0,,4403.02,260,0,14403020260,440302260,4746, , ,CARTER,AV, ,,ST. ENGEBERTS DAY CARE,ST. ENGEBERTS DAY CARE,,4746 CARTER AVENUE,ST. LOUIS,MO,0.0000,4403.02,21,6,1,21,6,69,17,33,6,1269,5,1077.2002,302,194,E,4403.02,260,05/23/00 00:00:00,09/21/17 00:00:00,
XM,10778,0,0,,5742,240,0,15742000240,574200240,5076, , ,DURANT,AV, ,,ST PHILIP NERI CHURCH,ST PHILIP NERI CHURCH,,5076 DURANT AV,ST. LOUIS,MO,63115.0000,5742,1,3,1,1,13,71,17,67,6,1075,3,1075.3006,328,947,E,5742,240,12/15/92 00:00:00,09/21/17 00:00:00,
XM,10777,0,0,,4403.02,260,0,14403020260,440302260,4330, , ,SHREVE,AV, ,,ST. ELIZABETH-MOTHER OF JOHN THE BAPTIST,ST. ELIZABETH-MOTHER OF JOHN THE BAPTIST,,4330 SHREVE,ST. LOUIS,MO,0.0000,4403.02,21,6,1,21,6,69,17,33,6,1269,5,1077.2002,302,232,E,4403.02,260,05/23/00 00:00:00,09/21/17 00:00:00,
XM,10776,1,0,,498,10,0,10498000010,49800010,15, , ,PLAZA SQUARE, , ,,ST. JOHN'S CATHOLIC CHURCH,ST. JOHN'S CATHOLIC CHURCH,FATHER JOHNSON,15 PLAZA SQUARE,ST. LOUIS,MO,63103.0000,498,5,8,3,7,8,36,9,1,4,1255,2,1255.2003,262,1570,O,498,9001,05/15/00 00:00:00,09/21/17 00:00:00,01/17/17 00:00:00
XM,10775,0,0,,2119,50,0,12119000050,211900050,1755, ,S,GRAND,BLVD, ,,BETHESDA EYE CLINIC,BETHESDA EYE CLINIC,,1755 S GRAND BLVD,ST. LOUIS,MO,63104.0000,2119.0083,8,3,2,8,13,27,6,20,2,1273,2,1173.2004,219,20,O,2119,50,12/15/92 00:00:00,09/21/17 00:00:00,
XM,10774,4,0,,3710.01,240,0,13710010240,371001240,4673, , ,LABADIE,AV, ,,COTE BRILLIANTE PRESBY. B. CHRUCH,COTE BRILLIANTE PRESBY. B. CHURCH,REV. WILLIAM GILLESPIE,4673 LABADIE,ST. LOUIS,MO,63115.0000,3710.01,4,7,1,4,8,56,13,34,6,1101,2,1101.5003,307,49,O,3710.01,240,03/28/00 00:00:00,09/21/17 00:00:00,
